Category,Priority,ResearchQuestion,Keyword,ConceptTitle,Topic,KnowledgeSummary,ResearchHint
Signal Quality,HIGH,Are high FinalScore signals actually producing better forward returns?,technical analysis,MACD,Markets,"The Moving Average Convergence Divergence (MACD) is a trading indicator used in technical analysis of securities prices, created by Gerald Appel in the late 1970s. It is designed to reveal changes in the strength, direction, momentum, and duration of a trend in a stock's price.
The MACD indicator (o",Compare forward returns of high-score signals versus low-score signals using 5D and 10D windows.
Signal Quality,HIGH,Are high FinalScore signals actually producing better forward returns?,technical analysis,Technical analysis,Markets,"In finance, technical analysis is an analysis methodology for analysing and forecasting the direction of prices through the study of past market data, primarily price and volume. As a type of active management, it stands in contradiction to much of modern portfolio theory. The efficacy of technical ",Compare forward returns of high-score signals versus low-score signals using 5D and 10D windows.
Signal Quality,HIGH,Are high FinalScore signals actually producing better forward returns?,technical analysis,Fundamental analysis,Markets,"Fundamental analysis, in accounting and finance, is the analysis of a business's financial statements (usually to analyze the business's assets, liabilities, and earnings); health; competitors and markets. It also considers the overall state of the economy and factors including interest rates, produ",Compare forward returns of high-score signals versus low-score signals using 5D and 10D windows.
Signal Quality,HIGH,Are high FinalScore signals actually producing better forward returns?,backtesting,Backtesting,Markets,"Backtesting is a term used in modeling to refer to testing a predictive model on historical data.  Backtesting is a type of retrodiction, and a special type of cross-validation applied to previous time period(s).  In quantitative finance, backtesting is an important step before deploying algorithmic",Compare forward returns of high-score signals versus low-score signals using 5D and 10D windows.
Signal Quality,HIGH,Are high FinalScore signals actually producing better forward returns?,statistical significance,Statistical significance,Science,"In statistical hypothesis testing, a result has statistical significance when a result at least as ""extreme"" would be very infrequent if the null hypothesis were true. More precisely, a study's defined significance level, denoted by 
  
    
      
        α
      
    
    {\displaystyle \alpha }
 ",Compare forward returns of high-score signals versus low-score signals using 5D and 10D windows.
Signal Quality,HIGH,Are high FinalScore signals actually producing better forward returns?,statistical significance,P-value,Science,"In null-hypothesis significance testing, the p-value is the probability of obtaining test results at least as extreme as the result actually observed, under the assumption that the null hypothesis is correct. A very small p-value means that such an extreme observed outcome would be very unlikely und",Compare forward returns of high-score signals versus low-score signals using 5D and 10D windows.
Signal Quality,HIGH,Are high FinalScore signals actually producing better forward returns?,statistical significance,Data snooping,Markets,"Data dredging, also known as data snooping or p-hacking, is the misuse of data analysis to find patterns in data that can be presented as statistically significant, thus dramatically increasing and understating the risk of false positives. This is done by performing many statistical tests on the dat",Compare forward returns of high-score signals versus low-score signals using 5D and 10D windows.
Signal Quality,HIGH,Are high FinalScore signals actually producing better forward returns?,momentum investing,Momentum investing,Markets,"Momentum investing is a system of buying stocks or other securities that have had high returns over the past three-to-twelve months, and selling those that have had poor returns over the same period.
While momentum investing is well-established as a phenomenon no consensus exists about the explanati",Compare forward returns of high-score signals versus low-score signals using 5D and 10D windows.
Sector Research,HIGH,Is CRYPTO strength persistent or only a one-day spike?,,,,,Not enough knowledge context found. Add more concepts to the knowledge database.
Pattern Reliability,HIGH,Which high-confidence patterns survive across different market regimes?,bull market,Bull market,Markets,"A market trend is a perceived tendency of the financial markets to move in a particular direction over time. Analysts classify these trends as secular for long time-frames, primary for medium time-frames, and secondary for short time-frames. Traders attempt to identify market trends using technical ",Require minimum sample size before trusting confidence results.
